Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,OWN,G,W,L,WR,K,D,A,KDA,CS,CSPM,G,GPM,KPAR,KS,GS,CP,rOWN,rFPTS
MID,Knight (14470254),Knight,14470254,MID,8000,SN@TES 04/02/2020 05:30AM ET,TES,1.24,0.31,20.00,12.00,8.00,0.60,4.00,2.25,6.75,4.78,268.15,8.38,0.00,0.00,0.78,0.29,0.00,12.00,0.22,136.88
MID,FoFo (14470229),FoFo,14470229,MID,7800,RW@BLG 04/02/2020 04:00AM ET,BLG,0.67,0.22,25.00,10.00,15.00,0.40,3.04,1.92,4.64,4.00,272.24,7.96,12.60,368.00,0.77,0.31,0.22,14.00,0.00,0.00
MID,ShowMaker (14470186),ShowMaker,14470186,MID,7600,DWG@HLE 04/02/2020 04:00AM ET,DWG,0.09,0.03,29.00,13.00,16.00,0.45,2.86,1.72,4.55,4.30,290.38,8.62,13.10,390.00,0.68,0.26,0.22,12.00,0.04,89.34
MID,Fly (14470156),Fly,14470156,MID,7400,AF@APK 04/02/2020 02:00AM ET,AF,0.10,0.05,27.00,12.00,15.00,0.44,2.00,2.56,4.93,2.71,255.59,7.27,12.10,343.00,0.68,0.20,0.21,13.00,0.04,42.08
MID,Angel (14470246),Angel,14470246,MID,7000,SN@TES 04/02/2020 05:30AM ET,SN,0.60,0.14,25.00,11.00,14.00,0.44,4.32,2.44,5.64,4.08,247.84,7.68,12.40,384.00,0.73,0.32,0.22,13.00,0.10,81.22
MID,Chovy (14470194),Chovy,14470194,MID,6800,KT@DRX 04/02/2020 05:30AM ET,DRX,0.25,0.09,30.00,19.00,11.00,0.63,2.73,1.57,5.43,5.21,302.43,9.01,13.40,398.00,0.65,0.22,0.22,18.00,0.07,76.28
MID,Yuuki (14470210),Yuuki,14470210,MID,6600,LGD@WE 04/02/2020 02:00AM ET,LGD,0.18,0.05,22.00,8.00,14.00,0.36,3.50,3.32,5.23,2.63,266.50,8.12,12.70,388.00,0.64,0.26,0.22,12.00,0.00,0.00
MID,Ruby (14470238),Ruby,14470238,MID,6400,RW@BLG 04/02/2020 04:00AM ET,RW,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,73.54
MID,Tempt (14470177),Tempt,14470177,MID,6200,DWG@HLE 04/02/2020 04:00AM ET,HLE,0.02,0.01,30.00,11.00,19.00,0.37,1.97,2.30,4.10,2.64,284.07,8.59,12.20,370.00,0.65,0.21,0.22,15.00,0.01,0.00
MID,Cover (14470167),Cover,14470167,MID,6000,AF@APK 04/02/2020 02:00AM ET,APK,0.04,0.02,8.00,4.00,4.00,0.50,1.88,3.00,6.25,2.71,312.00,8.69,14.00,391.00,0.64,0.15,0.22,3.00,0.02,91.28
MID,Kuro (14470202),Kuro,14470202,MID,5800,KT@DRX 04/02/2020 05:30AM ET,KT,0.19,0.08,29.00,15.00,14.00,0.52,2.34,1.28,4.48,5.35,256.24,8.09,11.50,364.00,0.70,0.24,0.21,14.00,0.05,14.82
JNG,beishang (14470331),beishang,14470331,CPT,11700,LGD@WE 04/02/2020 02:00AM ET,WE,0.77,0.24,21.00,11.00,10.00,0.52,3.19,2.52,7.14,4.09,176.29,5.65,10.80,345.00,0.73,0.22,0.20,10.00,0.22,175.59
JNG,Karsa (14470364),Karsa,14470364,CPT,11100,SN@TES 04/02/2020 05:30AM ET,TES,0.62,0.27,20.00,12.00,8.00,0.60,2.30,2.85,7.60,3.47,165.55,5.17,0.00,0.00,0.72,0.17,0.00,8.00,0.13,194.16
JNG,Meteor (14470339),Meteor,14470339,CPT,10800,RW@BLG 04/02/2020 04:00AM ET,BLG,0.15,0.09,25.00,10.00,15.00,0.40,1.64,2.56,5.76,2.89,186.60,5.46,10.70,313.00,0.75,0.17,0.19,12.00,0.14,48.48
JNG,Peanut (14470321),Peanut,14470321,CPT,10200,LGD@WE 04/02/2020 02:00AM ET,LGD,0.37,0.10,22.00,8.00,14.00,0.36,3.68,2.55,6.32,3.93,181.09,5.51,11.10,338.00,0.73,0.27,0.19,8.00,0.00,0.00
