Date,Open,High,Low,Close,Adj Close,Volume
2019-09-23,0.680000,0.700000,0.590000,0.590000,0.590000,836600
2019-09-24,0.600000,0.630000,0.580000,0.620000,0.620000,832600
2019-09-25,0.630000,0.630000,0.550000,0.560000,0.560000,637300
2019-09-26,0.570000,0.600000,0.560000,0.570000,0.570000,205900
2019-09-27,0.580000,0.600000,0.550000,0.560000,0.560000,311400
2019-09-30,0.550000,0.560000,0.520000,0.530000,0.530000,321200
2019-10-01,0.540000,0.540000,0.510000,0.520000,0.520000,227000
2019-10-02,0.510000,0.570000,0.500000,0.550000,0.550000,709500
2019-10-03,0.550000,0.570000,0.520000,0.530000,0.530000,200100
2019-10-04,0.560000,0.590000,0.510000,0.570000,0.570000,1082300
2019-10-07,0.570000,0.570000,0.520000,0.560000,0.560000,302300
2019-10-08,0.550000,0.560000,0.510000,0.510000,0.510000,345200
2019-10-09,0.510000,0.520000,0.480000,0.500000,0.500000,361900
2019-10-10,0.500000,0.500000,0.480000,0.490000,0.490000,178300
2019-10-11,0.490000,0.500000,0.440000,0.480000,0.480000,510500
2019-10-14,0.460000,0.540000,0.460000,0.520000,0.520000,621400
2019-10-15,0.510000,0.550000,0.500000,0.540000,0.540000,467100
2019-10-16,0.500000,0.540000,0.500000,0.530000,0.530000,223600
2019-10-17,0.520000,0.540000,0.510000,0.520000,0.520000,198600
2019-10-18,0.520000,0.560000,0.520000,0.540000,0.540000,304500
2019-10-21,0.460000,0.490000,0.400000,0.430000,0.430000,1701400
2019-10-22,0.430000,0.440000,0.400000,0.410000,0.410000,537200
2019-10-23,0.410000,0.410000,0.370000,0.370000,0.370000,1411500
2019-10-24,0.420000,0.440000,0.370000,0.370000,0.370000,1683200
2019-10-25,0.380000,0.400000,0.370000,0.390000,0.390000,399400
2019-10-28,0.430000,0.430000,0.370000,0.380000,0.380000,459800
2019-10-29,0.370000,0.390000,0.370000,0.380000,0.380000,187000
2019-10-30,0.380000,0.390000,0.370000,0.370000,0.370000,168000
2019-10-31,0.370000,0.380000,0.370000,0.370000,0.370000,398800
2019-11-01,0.370000,0.380000,0.370000,0.370000,0.370000,133000
2019-11-04,0.370000,0.370000,0.320000,0.340000,0.340000,447400
2019-11-05,0.370000,0.370000,0.330000,0.350000,0.350000,332100
2019-11-06,0.430000,0.470000,0.370000,0.380000,0.380000,3800200
2019-11-07,0.360000,0.370000,0.320000,0.340000,0.340000,956000
2019-11-08,0.350000,0.360000,0.320000,0.340000,0.340000,345300
2019-11-11,0.340000,0.400000,0.320000,0.350000,0.350000,843800
2019-11-12,0.360000,0.370000,0.330000,0.330000,0.330000,660700
